phase	profile	concurrency	run_id	ok	health_ckpt	abort	sys_state_err	autofix_adv	autofix_applied	duration_h	total_actions	actions_per_h	alloc_rev	rev_per_h	rev_per_action	allocation_efficiency_pct	energy_cost_usd	wsjf_per_h	value_per_energy	profit_dividend	event_count	miss	inv	sentinel	zero	duration_ok_pct	dur_mult	eff_mult	tier_backlog_cov_pct	tier_telemetry_cov_pct	tier_depth_cov_pct	intent_cov_pct	stability_score
baseline	golden	sequential	76090075	1	1	0	0	0	0	0.0010	10	10000.000	650.00	650000.00	65.00	3.60	0.0000	0.00	0.00	9200.00	15	0	0	4	0	73.33	1.000	1.000	0.00	0.00	0.00	80.00	93.33
baseline	golden	sequential	d528a66d	1	1	0	0	0	0	0.0010	10	10000.000	650.00	650000.00	65.00	3.60	0.0000	0.00	0.00	9200.00	15	0	0	4	0	73.33	1.000	1.000	0.00	0.00	0.00	80.00	93.33
baseline	golden	sequential	2915f78c	1	1	0	0	0	0	0.0010	10	10000.000	650.00	650000.00	65.00	3.60	0.0000	0.00	0.00	9200.00	15	0	0	4	0	73.33	1.000	1.000	0.00	0.00	0.00	80.00	93.33
baseline	longrun	sequential	4457af77	1	33	0	0	0	0	0.0020	10	5000.000	650.00	325000.00	65.00	3.60	0.0000	0.00	0.00	9200.00	15	0	0	4	0	73.33	0.800	1.200	0.00	0.00	0.00	80.00	93.33
baseline	longrun	sequential	f845b466	1	33	0	0	0	0	0.0030	10	3333.333	650.00	216666.67	65.00	3.60	0.0000	0.00	0.00	9200.00	15	0	0	4	0	73.33	1.200	0.800	0.00	0.00	0.00	80.00	83.33
