phase	profile	concurrency	run_id	ok	health_ckpt	abort	sys_state_err	autofix_adv	autofix_applied	duration_h	total_actions	actions_per_h	alloc_rev	rev_per_h	rev_per_action	allocation_efficiency_pct	energy_cost_usd	wsjf_per_h	value_per_energy	profit_dividend	event_count	miss	inv	sentinel	zero	duration_ok_pct	dur_mult	eff_mult	tier_backlog_cov_pct	tier_telemetry_cov_pct	tier_depth_cov_pct	intent_cov_pct	stability_score
baseline	golden	sequential	ff396997	1	1	0	0	0	0	0.0010	10	10000.000	650.00	650000.00	65.00	3.60	0.0000	0.00	0.00	9200.00	15	0	0	4	0	73.33	1.000	1.000	0.00	0.00	0.00	80.00	93.33
baseline	golden	sequential	71a84aef	1	1	0	0	0	0	0.0010	10	10000.000	650.00	650000.00	65.00	3.60	0.0000	0.00	0.00	9200.00	15	0	0	4	0	73.33	1.000	1.000	0.00	0.00	0.00	80.00	93.33
baseline	golden	sequential	cb81089a	1	1	0	0	0	0	0.0010	10	10000.000	650.00	650000.00	65.00	3.60	0.0000	0.00	0.00	9200.00	15	0	0	4	0	73.33	1.000	1.000	0.00	0.00	0.00	80.00	93.33
baseline	longrun	sequential	72dcda1c	1	33	0	0	0	0	0.0030	10	3333.333	650.00	216666.67	65.00	3.60	0.0000	0.00	0.00	9200.00	15	0	0	4	0	73.33	1.000	1.038	0.00	0.00	0.00	80.00	93.33
baseline	longrun	sequential	15ed015f	1	33	0	0	0	0	0.0030	12	4000.000	602.94	200980.00	50.25	3.34	0.0000	0.00	0.00	9676.47	17	0	0	6	0	64.71	1.000	0.962	0.00	0.00	0.00	80.00	91.18
