phase	profile	concurrency	run_id	ok	health_ckpt	abort	sys_state_err	autofix_adv	autofix_applied	duration_h	total_actions	actions_per_h	alloc_rev	rev_per_h	rev_per_action	allocation_efficiency_pct	energy_cost_usd	wsjf_per_h	value_per_energy	profit_dividend	event_count	miss	inv	sentinel	zero	duration_ok_pct	dur_mult	eff_mult	tier_backlog_cov_pct	tier_telemetry_cov_pct	tier_depth_cov_pct	intent_cov_pct	stability_score
baseline	golden	sequential	53ff097b	1	8	0	0	1	0	0.0010	9	9000.000	678.57	678570.00	75.40	3.76	0.0000	0.00	0.00	8964.29	14	0	0	3	0	78.57	1.000	1.000	0.00	0.00	0.00	80.00	94.64
baseline	golden	sequential	2428f193	1	8	0	0	1	0	0.0010	9	9000.000	678.57	678570.00	75.40	3.76	0.0000	0.00	0.00	8964.29	14	0	0	3	0	78.57	1.000	1.000	0.00	0.00	0.00	80.00	94.64
baseline	golden	sequential	74fa9133	1	8	0	0	1	0	0.0010	9	9000.000	678.57	678570.00	75.40	3.76	0.0000	0.00	0.00	8964.29	14	0	0	3	0	78.57	1.000	1.000	0.00	0.00	0.00	80.00	94.64
baseline	longrun	sequential	5ec7a6ed	1	33	0	0	1	0	0.0020	9	4500.000	678.57	339285.00	75.40	3.76	0.0000	0.00	0.00	8964.29	14	0	0	3	0	78.57	1.000	1.000	0.00	0.00	0.00	80.00	94.64
baseline	longrun	sequential	57ca9996	1	33	0	0	1	0	0.0020	9	4500.000	678.57	339285.00	75.40	3.76	0.0000	0.00	0.00	8964.29	14	0	0	3	0	78.57	1.000	1.000	0.00	0.00	0.00	80.00	94.64
capacity_homogeneous	golden	concurrent2	aaf293eb	1	8	0	0	1	0	0.0020	18	9000.000	678.57	339285.00	37.70	3.76	0.0000	0.00	0.00	17714.29	28	0	0	6	0	78.57	2.000	0.500	0.00	0.00	0.00	80.00	69.64
capacity_homogeneous	golden	concurrent2	cd3c15cd	1	8	0	0	1	0	0.0020	18	9000.000	678.57	339285.00	37.70	3.76	0.0000	0.00	0.00	17714.29	28	0	0	6	0	78.57	2.000	0.500	0.00	0.00	0.00	80.00	69.64
capacity_homogeneous	longrun	concurrent2	e34ae1c4	1	33	0	0	1	0	0.0050	18	3600.000	678.57	135714.00	37.70	3.76	0.0001	0.00	6785700.00	17714.29	28	0	0	6	0	78.57	2.500	0.400	0.00	0.00	0.00	80.00	69.64
capacity_homogeneous	longrun	concurrent2	4d0980e7	1	33	0	0	1	0	0.0040	18	4500.000	678.57	169642.50	37.70	3.76	0.0001	0.00	6785700.00	17714.29	28	0	0	6	0	78.57	2.000	0.500	0.00	0.00	0.00	80.00	69.64
capacity_mixed	golden	concurrent2	5a8f7a39	1	8	0	0	1	0	0.0010	9	9000.000	678.57	678570.00	75.40	3.76	0.0000	0.00	0.00	8964.29	14	0	0	3	0	78.57	1.000	1.000	0.00	0.00	0.00	80.00	94.64
capacity_mixed	longrun	concurrent2	61a7a8b6	1	33	0	0	1	0	0.0020	9	4500.000	678.57	339285.00	75.40	3.76	0.0000	0.00	0.00	8964.29	14	0	0	3	0	78.57	1.000	1.000	0.00	0.00	0.00	80.00	94.64
