phase	profile	concurrency	run_id	ok	health_ckpt	abort	sys_state_err	autofix_adv	autofix_applied	duration_h	total_actions	actions_per_h	alloc_rev	rev_per_h	rev_per_action	allocation_efficiency_pct	energy_cost_usd	wsjf_per_h	value_per_energy	profit_dividend	event_count	miss	inv	sentinel	zero	duration_ok_pct	dur_mult	eff_mult	tier_backlog_cov_pct	tier_telemetry_cov_pct	tier_depth_cov_pct	intent_cov_pct	stability_score
baseline	golden	sequential	47c9e2b4	1	1	0	0	1	0	0.0010	12	12000.000	602.94	602940.00	50.25	3.34	0.0000	0.00	0.00	9676.47	17	0	0	6	0	64.71	1.000	1.000	0.00	0.00	0.00	80.00	91.18
baseline	golden	sequential	a5dfc190	1	1	0	0	1	0	0.0010	12	12000.000	602.94	602940.00	50.25	3.34	0.0000	0.00	0.00	9676.47	17	0	0	6	0	64.71	1.000	1.000	0.00	0.00	0.00	80.00	91.18
baseline	golden	sequential	c59e45ef	1	1	0	0	1	0	0.0010	12	12000.000	602.94	602940.00	50.25	3.34	0.0000	0.00	0.00	9676.47	17	0	0	6	0	64.71	1.000	1.000	0.00	0.00	0.00	80.00	91.18
baseline	longrun	sequential	65826d67	1	33	0	0	1	0	0.0020	12	6000.000	602.94	301470.00	50.25	3.34	0.0000	0.00	0.00	9676.47	17	0	0	6	0	64.71	0.800	1.216	0.00	0.00	0.00	80.00	91.18
baseline	longrun	sequential	142328c7	1	33	0	0	1	0	0.0030	13	4333.333	583.34	194446.67	44.87	3.23	0.0000	0.00	0.00	9916.67	18	0	0	7	0	61.11	1.200	0.784	0.00	0.00	0.00	80.00	80.28
