phase	profile	concurrency	run_id	ok	health_ckpt	abort	sys_state_err	autofix_adv	autofix_applied	duration_h	total_actions	actions_per_h	alloc_rev	rev_per_h	rev_per_action	allocation_efficiency_pct	energy_cost_usd	wsjf_per_h	value_per_energy	profit_dividend	event_count	miss	inv	sentinel	zero	duration_ok_pct	dur_mult	eff_mult	tier_backlog_cov_pct	tier_telemetry_cov_pct	tier_depth_cov_pct	intent_cov_pct	stability_score
baseline	golden	sequential	9479112f	1	1	0	0	1	0	0.0010	13	13000.000	583.34	583340.00	44.87	3.23	0.0000	0.00	0.00	9916.67	18	0	0	7	0	61.11	0.750	1.200	0.00	0.00	0.00	80.00	90.28
baseline	golden	sequential	5b53786c	1	1	0	0	1	0	0.0020	13	6500.000	583.34	291670.00	44.87	3.23	0.0000	0.00	0.00	9916.67	18	0	0	7	0	61.11	1.500	0.600	0.00	0.00	0.00	80.00	65.28
baseline	golden	sequential	9b38abc7	1	1	0	0	0	0	0.0010	13	13000.000	583.34	583340.00	44.87	3.23	0.0000	0.00	0.00	9916.67	18	0	0	7	0	61.11	0.750	1.200	0.00	0.00	0.00	80.00	90.28
baseline	longrun	sequential	2ebc255c	1	33	0	0	1	0	0.0030	13	4333.333	583.34	194446.67	44.87	3.23	0.0000	0.00	0.00	9916.67	18	0	0	7	0	61.11	1.000	1.000	0.00	0.00	0.00	80.00	90.28
baseline	longrun	sequential	8c991440	1	33	0	0	1	0	0.0030	13	4333.333	583.34	194446.67	44.87	3.23	0.0000	0.00	0.00	9916.67	18	0	0	7	0	61.11	1.000	1.000	0.00	0.00	0.00	80.00	90.28
