phase	profile	concurrency	run_id	ok	health_ckpt	abort	sys_state_err	autofix_adv	autofix_applied	duration_h	total_actions	actions_per_h	alloc_rev	rev_per_h	rev_per_action	allocation_efficiency_pct	energy_cost_usd	wsjf_per_h	value_per_energy	profit_dividend	event_count	miss	inv	sentinel	zero	duration_ok_pct	dur_mult	eff_mult	tier_backlog_cov_pct	tier_telemetry_cov_pct	tier_depth_cov_pct	intent_cov_pct	stability_score
baseline	golden	sequential	4a5f7bfa	1	1	0	0	0	0	0.0000	2	0.000	1500.00	0.00	750.00	8.31	0.0000	0.00	0.00	1500.00	2	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
baseline	golden	sequential	72167dbe	1	1	0	0	1	0	0.0000	2	0.000	1500.00	0.00	750.00	8.31	0.0000	0.00	0.00	1500.00	2	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
baseline	golden	sequential	4250d7c7	1	1	0	0	1	0	0.0000	2	0.000	1500.00	0.00	750.00	8.31	0.0000	0.00	0.00	1500.00	2	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
baseline	longrun	sequential	c2e29359	1	1	0	0	1	0	0.0000	2	0.000	1500.00	0.00	750.00	8.31	0.0000	0.00	0.00	1500.00	2	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
baseline	longrun	sequential	7247b3e1	1	1	0	0	1	0	0.0000	2	0.000	1500.00	0.00	750.00	8.31	0.0000	0.00	0.00	1500.00	2	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
