phase	profile	concurrency	run_id	ok	health_ckpt	abort	sys_state_err	autofix_adv	autofix_applied	duration_h	total_actions	actions_per_h	alloc_rev	rev_per_h	rev_per_action	allocation_efficiency_pct	energy_cost_usd	wsjf_per_h	value_per_energy	profit_dividend	event_count	miss	inv	sentinel	zero	duration_ok_pct	dur_mult	eff_mult	tier_backlog_cov_pct	tier_telemetry_cov_pct	tier_depth_cov_pct	intent_cov_pct	stability_score
baseline	golden	sequential	a77c164a	1	8	0	0	1	0	0.0000	2	0.000	1500.00	0.00	750.00	7.30	0.0000	0.00	0.00	1500.00	2	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
baseline	golden	sequential	f9887451	1	8	0	0	1	0	0.0000	2	0.000	1500.00	0.00	750.00	7.30	0.0000	0.00	0.00	1500.00	2	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
baseline	golden	sequential	a68a36ff	1	8	0	0	1	0	0.0000	2	0.000	1500.00	0.00	750.00	7.30	0.0000	0.00	0.00	1500.00	2	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
baseline	longrun	sequential	610caaf7	1	33	0	0	1	0	0.0000	2	0.000	1500.00	0.00	750.00	7.30	0.0000	0.00	0.00	1500.00	2	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
baseline	longrun	sequential	e0a07316	1	33	0	0	1	0	0.0000	2	0.000	1500.00	0.00	750.00	7.30	0.0000	0.00	0.00	1500.00	2	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
capacity_homogeneous	golden	concurrent2	365491d9	1	8	0	0	1	0	0.0000	4	0.000	1500.00	0.00	375.00	7.30	0.0000	0.00	0.00	1500.00	4	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
capacity_homogeneous	golden	concurrent2	fcfb141a	1	8	0	0	1	0	0.0000	4	0.000	1500.00	0.00	375.00	7.30	0.0000	0.00	0.00	1500.00	4	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
capacity_homogeneous	longrun	concurrent2	c592bb6d	1	33	0	0	1	0	0.0000	4	0.000	1500.00	0.00	375.00	7.30	0.0000	0.00	0.00	1500.00	4	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
capacity_homogeneous	longrun	concurrent2	87a8d5f2	1	33	0	0	1	0	0.0000	4	0.000	1500.00	0.00	375.00	7.30	0.0000	0.00	0.00	1500.00	4	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
capacity_mixed	golden	concurrent2	76bcfa39	1	8	0	0	1	0	0.0000	2	0.000	1500.00	0.00	750.00	7.30	0.0000	0.00	0.00	1500.00	2	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
capacity_mixed	longrun	concurrent2	e415a7cb	1	33	0	0	1	0	0.0000	2	0.000	1500.00	0.00	750.00	7.30	0.0000	0.00	0.00	1500.00	2	0	0	0	0	100.00	0.000	0.000	0.00	0.00	0.00	20.00	100.00
