phase	profile	concurrency	run_id	ok	health_ckpt	abort	sys_state_err	autofix_adv	autofix_applied	duration_h	total_actions	actions_per_h	alloc_rev	rev_per_h	rev_per_action	allocation_efficiency_pct	energy_cost_usd	wsjf_per_h	value_per_energy	profit_dividend	event_count	miss	inv	sentinel	zero	duration_ok_pct	dur_mult	eff_mult	tier_backlog_cov_pct	tier_telemetry_cov_pct	tier_depth_cov_pct	intent_cov_pct	stability_score
baseline	golden	sequential	04162159	1	1	0	0	1	0	0.0010	12	12000.000	602.94	602940.00	50.25	3.34	0.0000	0.00	0.00	9676.47	17	0	0	6	0	64.71	1.000	1.000	0.00	0.00	0.00	80.00	91.18
baseline	golden	sequential	f858ffc0	1	1	0	0	1	0	0.0010	12	12000.000	602.94	602940.00	50.25	3.34	0.0000	0.00	0.00	9676.47	17	0	0	6	0	64.71	1.000	1.000	0.00	0.00	0.00	80.00	91.18
baseline	golden	sequential	17af2793	1	1	0	0	1	0	0.0010	12	12000.000	602.94	602940.00	50.25	3.34	0.0000	0.00	0.00	9676.47	17	0	0	6	0	64.71	1.000	1.000	0.00	0.00	0.00	80.00	91.18
baseline	longrun	sequential	71cd5dec	1	33	0	0	1	0	0.0020	12	6000.000	602.94	301470.00	50.25	3.34	0.0000	0.00	0.00	9676.47	17	0	0	6	0	64.71	1.000	1.000	0.00	0.00	0.00	80.00	91.18
baseline	longrun	sequential	641d4d74	1	33	0	0	1	0	0.0020	12	6000.000	602.94	301470.00	50.25	3.34	0.0000	0.00	0.00	9676.47	17	0	0	6	0	64.71	1.000	1.000	0.00	0.00	0.00	80.00	91.18
