phase	profile	concurrency	run_id	ok	health_ckpt	abort	sys_state_err	autofix_adv	autofix_applied	duration_h	total_actions	actions_per_h	alloc_rev	rev_per_h	rev_per_action	allocation_efficiency_pct	energy_cost_usd	wsjf_per_h	value_per_energy	profit_dividend	event_count	miss	inv	sentinel	zero	duration_ok_pct	dur_mult	eff_mult	tier_backlog_cov_pct	tier_telemetry_cov_pct	tier_depth_cov_pct
baseline	golden	sequential	62e91a5d	1	8	0	1	1	0	0.0020	59	29500.000	253.97	126985.00	4.30	1.41	0.0000	0.00	0.00	14523.81	63	0	0	28	0	55.56	1.000	1.000	0.00	0.00	0.00
baseline	longrun	sequential	3c6bd890	1	3	0	1	1	0	0.0100	28	2800.000	257.82	25782.00	9.21	1.43	0.0001	0.00	2578200.00	6796.87	32	0	0	13	0	59.38	1.000	1.000	0.00	0.00	0.00
